STRECKE_NR;RICHTUNG;KM_I;KM_L;BEZEICHNUNG;TECHN_SICHERUNG;STRASSENART;GEOGR_BREITE;GEOGR_LAENGE;GK_H_DGN;GK_R_DGN
4540;0;104380012;43,8 + 12;Bü 43.811 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23350871;9,65807462;5344162,66;3548962,763
4540;0;104500026;45,0 + 26;Bü 45.021 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23830961;9,64361127;5344687,386;3547883,849
4540;0;104530069;45,3 + 69;Bü 45.369 Ulm - Sigmaringen;Schrankenabschluss;Fuss- und Radwege;48,23877658;9,63910076;5344736,512;3547548,375
4540;0;104770092;47,7 + 92;Bü 47.793 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,24010965;9,61119152;5344867,869;3545474,108
4540;0;104820078;48,2 + 78;Bü 48.279 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,24178782;9,60515384;5345050,92;3545024,173
4540;0;104920029;49,2 + 29;Bü 49.228 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,24359726;9,59275703;5345244,938;3544101,844
4540;0;105150023;51,5 + 23;Bü 51.524 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23962168;9,56452356;5344787,078;3542008,117
4540;0;105260059;52,6 + 59;Bü 52.659 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23976483;9,54963709;5344794,975;3540902,259
4540;0;105280020;52,8 + 20;Bü 52.82 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23948349;9,54750501;5344762,561;3540744,115
4540;0;105300000;53,0 + 0;Bü 52.998 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,23917041;9,54512857;5344726,493;3540567,843
4540;0;105640049;56,4 + 49;Bü 56.451 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,21701227;9,52842326;5342253,972;3539343,935
